course_code,title,credits,description,source
CSCI 4341,Continuous Algorithms,3 Credits,"Structures in continuous mathematics from a computational viewpoint; continuous system simulation, computational modeling, probability, statistical techniques, next-event simulation, algorithms for continuous optimization, machine learning, neural networks, statistical language processing, robot control algorithms. Students cannot receive credit for bothCSCI 4341taken while an undergraduate andCSCI 6341taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4341andCSCI 6341. Prerequisites:CSCI 1311andCSCI 2113. (Spring, Every year)",bulletin
CSCI 4342,Computational Linear Algebra and Applications,3 Credits,"Application of linear algebra to computer science and engineering, with a computational perspective; points, vectors, matrices, and their programming repreentations; algorithms for 3D transformations, pose and viewpoint estimation; linear equations, independence, rank; algorithms for matrix decompositions, reduction of dimension; computation with large matrices, under and over-determined systems; applications to large data, computer vision, text processing. Students cannot receive credit for bothCSCI 4342taken while an undergraduate andCSCI 6342taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4342andCSCI 6342. Prerequisite:CSCI 2113. (Spring, Every year)",bulletin
CSCI 4345,Introduction to Quantum Computing,3 Credits,"Foundations of quantum computing, Dirac notation, complex vector spaces, state representation, operators. Single and multiple qubits, entanglement, measurement. Standard circuit model. Quantum algorithms and protocols, EPR paradox, Bell’s theorem. Prerequisite:CSCI 4342, orEMSE 2705, orMATH 2184, orMATH 2185; andCSCI 3212, orECE 3220, orMATH 2971, orMATH 2971W, orPHYS 2023. Credit cannot be earned for this course andCSCI 6345. (Spring, Every year)",bulletin
CSCI 4364,Machine Learning,3 Credits,"Supervised and unsupervised learning, regression, classification, linear models, perceptrons, ensemble methods, non-parametrics, online learning, active learning, feature selection, parameter tuning, and model evaluation. Prerequisites: CSCI 3212; and CSCI 3362 orCSCI 4341orCSCI 6362orAPSC 3115orDNSC 2001orSTAT 4157; andCSCI 4342orEMSE 2705or MATH 2184 orMATH 2185. Recommended background: Algorithms, probability and statistics, and linear algebra. Credit cannot be earned for this course andCSCI 6364. (Spring and fall, Every year)",bulletin
CSCI 4366,Neural Networks and Deep Learning,3 Credits,"Introduction to deep learning with neural networks: theory and practice. Creating from scratch, simplification with software packages, regression and classification problems for both simple (numerical, etc.) and complex (images, etc.) datasets. Restricted to Computer science majors. Prerequisites:MATH 1231andCSCI 3212; andMATH 2184orMATH 2185orCSCI 4342orEMSE 2705. Recommended background: Calculus, linear algebra, programming, and algorithms. Credit cannot be earned for this course andCSCI 6366. (Fall, Every year)",bulletin
CSCI 4414,Introduction to Blockchain Technology and Applications,3 Credits,"Introduction to blockchain concepts. Illustrates applications in both technical and business contexts. May be taken for graduate credit. Recommended background: prior coursework and background in computer science disciplines, programming, security protocols, machine learning, and distributed systems is helpful. (Fall and spring, Every year)",bulletin
CSCI 4415,Real-Time and Embedded Systems,3 Credits,"Development of software for real-time control of physical systems; reliability and fault tolerance, exceptions and exception handling, reliability and concurrent processes, timeouts, deadline scheduling, shared-memory and message-based device drivers. May be taken for graduate credit. Prerequisite:CSCI 2113. (Spring, Every year)",bulletin
CSCI 4431,Computer Networks I,3 Credits,"Fundamental concepts in the design and implementation of computer networks, the Internet, and protocols – transport, routing, physical layer, management and security; network programming interfaces. Prerequisites:CSCI 2113. Credit cannot be earned for this course andCSCI 6431. (Fall, Every year)",bulletin
CSCI 4431W,Computer Networks I,3 Credits,"Higher-layer protocols and network applications on the Internet, such as session layer, presentation layer, data encryption, directory services and reliable transfer services, telnet, network management, network measurements, e-mail systems, and error reporting. Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement. Prerequisites:CSCI 2113andCSCI 2461. (Fall and spring, Every year)",bulletin
CSCI 4454,Augmented and Virtual Reality,3 Credits,"Principles and practice of augmented reality (AR) and virtual reality (VR); 3D UI/UX and user interaction for immersive experiences; design and implementation of VR and mobile AR applications. May be taken for graduate credit with extra work. Prerequisites:CSCI 2113. (Spring and fall, Every year)",bulletin
CSCI 4455,Computer Game Design and Programming,3 Credits,"Principles, techniques, and design of computer games. Graphic game engines, modeling, motion, AI and interaction; sound design and synthesis; real-time software and hardware issues. May be taken for graduate credit with extra work assigned. Prerequisites:CSCI 2113.   (Every Year)",bulletin
CSCI 4511,Artificial Intelligence Algorithms,3 Credits,"Knowledge representation and reasoning, propositional logic and predicate calculus. Logic programming; search, game trees, backtracking; planning. May be taken for graduate credit with additional work assigned. Prerequisites:CSCI 3212. (Spring, Every year)",bulletin
CSCI 4521,Introduction to Mobile Robotics,3 Credits,"Overview of autonomous mobile robotics. Sensing, localization, calibration, mapping, perception, decision making, planning, and control. Emphasis on algorithmic rather than hardware aspects of robotics. Development of algorithms that can operate autonomous mobile platforms in complex, real-world environments. Prerequisites:MATH 1232andMATH 2184; andCSCI 3362orCSCI 4341. (Fall and spring, Every year)",bulletin
CSCI 4525,Autonomous Robotics: Manipulation,3 Credits,"Introduction to robot manipulation. Core principles necessary to program robots for autonomous operation in dynamic and typically human-centric environments. Transdisciplinary concepts from computer science (reinforcement learning, perception), mechanical engineering (kinematics, dynamics), and electrical engineering (control theory). Prerequisites: Permission of the instructor. (Fall and spring, Every year)",bulletin
CSCI 4527,Introduction to Computer Vision,3 Credits,"Introduction and overview of computer vision. Image-formation signal processing and filtering. Saliency, image features and feature extraction, tracking, stereo disparity estimation, structure form motion, photogrammetry, optic flow, homography estimation and warping, scene segmentation, place recognition, object recognition, robust estimation, and camera calibration. Prerequisites:MATH 1232andMATH 2184; andCSCI 3362orCSCI 4341. Same As:CSCI 6527. (Spring, Every year)",bulletin
CSCI 4531,Computer Security,3 Credits,"Risk analysis, operating system security, cryptography, identification and authentication systems, database security. Prerequisites:CSCI 2113. (Spring, Every year)",bulletin
CSCI 4533,Introduction to Usable Security and Privacy,3 Credits,"Introduction to concepts and research methods in human factors in computer security and privacy; reading, writing, reviewing scientific literature; developing research problems for exploration and presentation. Restricted to computer science majors and minors. Prerequisites:CSCI 2113. (Spring, Every year)",bulletin
CSCI 4541,Network Security,3 Credits,"Security protocols and applications in networks; packet-level communication security systems; network authentication; network attacks; intrusion detection systems and firewalls. Prerequisites:CSCI 4431. (Spring, Every year)",bulletin
CSCI 4551,Concepts and Applications of Computer Graphics,3 Credits,"Introduction to computer graphics without programming; building 3-D geometry and rendering; computer animation; virtual reality and computer games; hands-on projects in modeling, rendering, and animation using commercial software; hands-on projects in photo and video manipulation.",bulletin
CSCI 4552,Design of Computer Animation I,3 Credits,"Use of commercial 3-D computer animation packages to create digital artistic works. Principles of animation, including timing, exaggeration of motion, and anticipation; use of a storyboard; modeling; motion; rendering and editing. (Fall, Every year)",bulletin
CSCI 4553,Design of Computer Animation II,3 Credits,"Use of commercial 3-D animation packages to create artistic works and visualizations. Process-spanning concepts of development through pre-production, production, and post-production. Emphasis on developing original content and attaining high production values. Prerequisite:CSCI 4552.",bulletin
CSCI 4554,Computer Graphics I,3 Credits,"Graphics primitives; 2D, 3D, and viewing transformations; hierarchical modeling and animation; illumination and shading; texture mapping; shaders; visibility and collision detection; sampling and anti-aliasing; global illumination; projects using OpenGL graphics API. May be taken for graduate credit. Prerequisites:CSCI 2113orCSCI 6221. (Spring, Every year)",bulletin
CSCI 4561,Design of User–Interface Programs,3 Credits,"Structure of interactive programs. Widgets, windows, and input devices. Client–server model, event-driven programming, and callbacks. Window systems (e.g., Xwindows) and dialog control. May be taken for graduate credit. Prerequisites:CSCI 2113orCSCI 6221.",bulletin
CSCI 4576,Introduction to Biomedical Computing,3 Credits,"A survey of the problems and solutions in biomedical computing. Application of computers in medicine. Patient care and monitoring systems, electronic medical records, digital imaging and analysis. Telemedicine, medical ethics, health care regulations and organizations.",bulletin
CSCI 4577,Biomedical Computing,3 Credits,"Computing issues in epidemiology and biosurveillance, decision support, medical imaging and visualization, image-guided surgery; medical databases, issues in system integration, mobile medical computing. May be taken for graduate credit. Restricted to graduate students. Prerequisites:CSCI 2113andCSCI 4576. Corequisites:CSCI 2441. (Spring, Every year)",bulletin
CSCI 4907,Advanced Topics in Computer Science,3 Credits,"Topics vary by semester. May be repeated for credit provided the topic differs. Consult the Schedule of Classes for more information. Restricted to computer science majors and minors. (Spring and fall, Every year)",bulletin
CSCI 5099,Variable Topics,1-99 Credits,,bulletin
CSCI 6001,Introduction to Computer Programming and Software Development,3 Credits,"Introduction to concepts and skill development in programming and software development, including problem solving on a digital computer and writing, debugging, and executing programs. Restricted to students in select programs; departmental permission is required. (Fall, spring, and summer, Every year)",bulletin
CSCI 6002,Introduction to Data Structures and Their Applications,3 Credits,"Introduction to core computer science data structures including: arrays, lists, linked structures, stacks, queues, and trees. Sorting, searching, and comparison of algorithmic performance. Restricted to students in select programs; departmental permission is required. (Fall, spring, and summer, Every year)",bulletin
CSCI 6003,Introduction to Software Design and Engineering,3 Credits,"Introduction to objects and object-oriented programming. Software development for applications including development with GUIs, database access, threads, web programming. Restricted to students in select programs; departmental permission is required. (Fall, spring, and summer, Every year)",bulletin
CSCI 6004,Introduction to Web Development,3 Credits,"Client-server programming, web development, front end design, back-end server development, database use for web services. Front and back-end languages, server administration and tools. Departmental permission required prior to enrollment. Prerequisites:CSCI 2113orCSCI 6003. Credit cannot be earned for this course andCSCI 2441,CSCI 2441W,CSCI 2541W.",bulletin
CSCI 6010,Introduction to Computer Science Fundamentals,3 Credits,"Review of programming in a high-level language using Java or C++ Introduction to objects and object-oriented programming: static and dynamic objects, inheritance, dynamic method invocation. Data structures: 2D-arrays, linked-lists, stacks, queues, trees, hashing. Discrete structures: sets, graphs, permutations and combinations. Restricted to students whose letter of admission stated that the course is required. (Fall and spring, Every year)",bulletin
CSCI 6011,Introduction to Computer Systems and Algorithm Analysis,3 Credits,"Basics of computer systems and system usage: command line, containers, version control, and VMs. Basic data structures, and tools for the analysis of algorithms. Restricted to students whose letter of admission stated that the course is required. (Fall, Every year)",bulletin
CSCI 6012,Cybersecurity and Privacy,3 Credits,"Overview of cybersecurity and privacy, including cryptography, authentication, malware, viruses, network security, anonymity, privacy and online privacy, risk management; common cyberattacks and techniques for detection and defense; policy and legal perspectives for managing cybersecurity missions supporting private sector and government; cyber technologies as applied to the stability of global information and communications infrastructure; government cybersecurity policies. (Fall, spring, And summer)",bulletin
CSCI 6013,Security in Mobile Computing,3 Credits,"Relationship between security strategic plan and business strategic plan; mobile device solutions (MDS) to access enterprise corporate data; bring your own device (BYOD) paradigm; mobile device management (MDM) best practices, policies, network controls to identify countermeasures, and risk mitigation strategies against common threats. Overview of mobile security solutions for classified processing and communications. Prerequisites:CSCI 6012. (Fall, spring, And summer)",bulletin
